-60 -2.243
-59 -2.208
-58 -2.173
-57 -2.138
-56 -2.103
-55 -2.067
-54 -2.032
-53 -1.996
-52 -1.961
-51 -1.925
-50 -1.889 
-49 -1.854 
-48 -1.818 
-47 -1.782
-46 -1.745
-45 -1.709
-44 -1.673
-43 -1.637
-42 -1.600
-41 -1.564
-40 -1.527
-39 -1.490
-38 -1.453 
-37 -1.417 
-36 -1.380 
-35 -1.343 
-34 -1.305 
-33 -1.268 
-32 -1.231 
-31 -1.194 
-30 -1.156 
-29 -1.119 
-28 -1.081 
-27 -1.043 
-26 -1.006
-25 -0.968 
-24 -0.930 
-23 -0.892
-22 -0.854
-21 -0.816 
-20 -0.778 
-19 -0.739 
-18 -0.701 
-17 -0.663 
-16 -0.624 
-15 -0.586 
-14 -0.547 
-13 -0.508 
-12 -0.470 
-11 -0.431 
-10 -0.392
-9 -0.353
-8 -0.314 
-7 -0.275
-6 -0.236
-5 -0.197
-4 -0.157
-3 -0.118
-2 -0.079
-1 -0.039
0 0.000 
1 0.039 
2 0.079 
3 0.119 
4 0.158 
5 0.198 
6 0.238 
7 0.277 
8 0.317 
9 0.357 
10 0.397 
11 0.437 
12 0.477 
13 0.517 
14 0.557 
15 0.597 
16 0.637 
17 0.677 
18 0.718 
19 0.758 
20 0.798 
21 0.838 
22 0.879 
23 0.919 
24 0.960 
25 1.000 
26 1.041
27 1.081 
28 1.122
29 1.163 
30 1.203 
31 1.244 
32 1.285 
33 1.326 
34 1.366 
35 1.407 
36 1.448 
37 1.489 
38 1.530 
39 1.571 
40 1.612 
41 1.653 
42 1.694 
43 1.735 
44 1.776 
45 1.817 
46 1.858 
47 1.899 
48 1.941 
49 1.982 
50 2.023 
